DatGeracaoConjuntoDados;DscTipEqp;NumFasMdlEqp;IdeOnsSbe;IdeMdl;IdeTipMdl;IdeSbe;MdaCpeRaiNegMdlEqp;MdaCpeRaivPosMdlEqp;DscIdcExsMdlCnr;DscFinMdlEqp;MdaPotAtvMdlEqp;MdaTnsScdMdlEqp;MdaTnsTiaMdlEqp;NomSubestacao;NomLongoSubestacao;SigUFSubestacao;NumOprMdl;NomMdl;IdcSitMdl;NumTnsMdl
2026-04-27;Transformador de Potência;Trifásico;TOSTGU;39520;3;2738;;;N;Principal;100.00;138.00;13.80;GURUPI;SUB GURUPI     TO;TO;TR2;TR 230/138 kV GURUPI TR2 TO;3;230,00
2026-04-27;Transformador de Potência;Monofásico;SPDPI;39528;3;4413;;;;Principal;150.00;88.00;13.80;DOM PEDRO I;SUB DOM PEDRO I SP;SP;TR1;TR 230/88 kV DOM PEDRO I TR1 SP;0;230,00
2026-04-27;Transformador de Potência;Monofásico;SPDPI;39531;3;4413;;;;Principal;150.00;88.00;13.80;DOM PEDRO I;SUB DOM PEDRO I SP;SP;TR2;TR 230/88 kV DOM PEDRO I TR2 SP;0;230,00
2026-04-27;Transformador de Potência;Monofásico;SPDPI;39534;3;4413;;;;Reserva;50.00;88.00;13.80;DOM PEDRO I;SUB DOM PEDRO I SP;SP;TRR1;TR 230/88 kV DOM PEDRO I TRR1 SP;0;230,00
2026-04-27;Reator de Linha;Monofásico;SPASS;39919;3;1869;90.70;;;Principal;;;;ASSIS;SUB ASSIS    SP;SP;RT7;RTL 500 kV 90,7 Mvar ASSIS RT7 SP;0;500,00
2026-04-27;Reator de Linha;Monofásico;SPASS;39921;3;1869;90.70;;;Principal;;;;ASSIS;SUB ASSIS    SP;SP;RT6;RTL 500 kV 90,7 Mvar ASSIS RT6 SP;0;500,00
2026-04-27;Reator de Linha;Monofásico;SPASS;39923;3;1869;30.23;;;Reserva;;;;ASSIS;SUB ASSIS    SP;SP;RTR3;RTL 500 kV 30,23 Mvar ASSIS RTR3 SP;0;500,00
2026-04-27;Reator de Linha;Monofásico;PRGR;39927;3;3312;90.70;;;Principal;;;;PONTA GROSSA;SUB PONTA GROSSA PR;PR;RT5;RTL 525 kV 90,7 Mvar PONTA GROSSA RT5 PR;0;525,00
2026-04-27;Reator de Linha;Monofásico;PRGR;39929;3;3312;90.70;;;Principal;;;;PONTA GROSSA;SUB PONTA GROSSA PR;PR;RT6;RTL 525 kV 90,7 Mvar PONTA GROSSA RT6 PR;0;525,00
2026-04-27;Reator de Linha;Monofásico;PRGR;39931;3;3312;30.23;;;Reserva;;;;PONTA GROSSA;SUB PONTA GROSSA PR;PR;RTR3;RTL 525 kV 30,23 Mvar PONTA GROSSA RTR3 PR;0;525,00
2026-04-27;Transformador de Potência;Monofásico;BAOLD;39934;3;83;;;;Principal;450.00;230.00;13.80;OLINDINA;SUB OLINDINA    BA;BA;TR1;TR 500/230 kV OLINDINA TR1 BA;0;500,00
2026-04-27;Transformador de Potência;Monofásico;BAOLD;39937;3;83;;;;Reserva;150.00;230.00;13.80;OLINDINA;SUB OLINDINA    BA;BA;TRR1;TR 500/230 kV OLINDINA TRR1 BA;0;500,00
2026-04-27;Compensador Síncrono;Trifásico;MGSTES;39946;3;676;300.00;300.00;N;Principal;;;;ESTREITO;SUB ESTREITO    MG;MG;CS1;CS 300/-300 Mvar ESTREITO CS1 MG;3;500,00
2026-04-27;Compensador Síncrono;Trifásico;MGSTES;39948;3;676;300.00;300.00;N;Principal;;;;ESTREITO;SUB ESTREITO    MG;MG;CS2;CS 300/-300 Mvar ESTREITO CS2 MG;3;500,00
2026-04-27;Compensador Síncrono;Trifásico;MGSTES;39950;3;676;300.00;300.00;N;Principal;;;;ESTREITO;SUB ESTREITO    MG;MG;CS3;CS 300/-300 Mvar ESTREITO CS3 MG;3;500,00
2026-04-27;Transformador de Potência;Trifásico;INS-APMCT;39959;3;4416;;;N;Principal;150.00;69.00;13.80;MACAPA III;SUB MACAPA III AP;AP;TR1;TR 230/69 kV MACAPA III TR1 AP;3;230,00
2026-04-27;Transformador de Potência;Trifásico;INS-APMCT;39962;3;4416;;;N;Principal;150.00;69.00;13.80;MACAPA III;SUB MACAPA III AP;AP;TR2;TR 230/69 kV MACAPA III TR2 AP;3;230,00
2026-04-27;Transformador de Potência;Monofásico;MGBRZ3;40186;3;4431;;;;Principal;600.00;345.00;13.80;BURITIZEIRO 3;SUB BURITIZEIRO 3 MG;MG;TR1;TR 500/345 kV BURITIZEIRO 3 TR1 MG;0;500,00
